KAUFDATUM;PRODUKT;GRÖßE;EINZELPREIS;STORE;MARKTWERT;VERKAUFSDATUM;VERKAUFSPREIS;VERKAUFSERLÖS;PROFIT;ZAHLUNG;VERKAUFSPLATTFORM;SALDO;MAX EINNAHMEN Netto;MAX EINNAHMEN Brutto;LAGERWERT;SCHUHE RÜCKZAHLEN
10. Mai 2019;"Air Jordan
x Travis Scott Nike AJ I 1 High Dark Mocha (2019)";46;-194,00 €;SNS;;;WEARING;;;;;2595,30 €;3809,04 €;13222;310,00 €;378,80 €
11. Mai 2019;"Air Jordan
x Travis Scott Nike AJ I 1 High Dark Mocha (2019)";45,5;-190,00 €;NIKE;;3. Apr. 2020;1040,00 €;885,00 €;695,00 €;PAYPAL;KLEKT;;;;;
1. Juli 2019;"Air Jordan
x Nike SB AJ I 1 Retro High OG 'LA to Chicago'";46;-150,00 €;NIKE;;11. Juli 2019;370,00 €;300,00 €;150,00 €;PAYPAL;KLEKT;;;;;
24. Juni 2019;Nike x Off-White Zoom Terra Kiger 5;42,5;-160,00 €;NIKE;;8. Jan. 2021;129,00 €;115,00 €;-45,00 €;PAYPAL;Vestiaire Collective;;;;;
20. Juli 2019;"Air Jordan
x Travis Scott Nike AJ I 1 Low OG 'Dark Mocha'";45;-130,00 €;NIKE;;9. Aug. 2019;516,00 €;441,50 €;311,50 €;PAYPAL;StockX;;;;;
31. Juli 2019;Air Force AF I 1 Low Type;46;-140,00 €;Size?;;6. Aug. 2019;140,00 €;140,00 €;;PAYPAL;RETOURE;;;;;
3. August 2019;"Adidas
Yeezy Boost 700 'Mauve'";43;300,00 €;Lisa;;4. Sept. 2019;334,00 €;270,00 €;50,00 €;BAR;KLEKT;;;;;
6. August 2019;Air Force AF I 1 Low Type;44;-140,00 €;Solebox;;9. Aug. 2019;140,00 €;140,00 €;0,00 €;PAYPAL;RETOURE;;;;;
9. August 2019;"Nike
x Sacai LDV LDWaffle 'Green Gusto'";46;-160,00 €;NIKE;;3. Okt. 2019;495,00 €;390,00 €;230,00 €;PAYPAL;KLEKT;;;;;
10. August 2019;Air Force AF I 1 Low Type;45;-149,00 €;SNS;;;WEARING;;;;;;;;;
24. August 2019;Adidas Yeezy 500 'Bone White’;39;-199,00 €;Caliroots;;19. Dez. 2019;376,00 €;319,00 €;120,00 €;PAYPAL;KLEKT;;;;;
25. August 2019;"Adidas
Yeezy Boost 350 V2 'Black'";42,5;-219,95 €;Adidas;;30. Aug. 2019;445,00 €;370,00 €;150,05 €;PAYPAL;KLEKT;;;;;
